Title,Slug,URL,Category,Build Type/Short Desc,Year,IMO,Flag,Class,Water Depth,Leg Length,Deck Area,Crane Capacity,POB,DWT,Bollard Pull,Helideck
QMS Marwa,qms-marwa,https://zmiglobal.com/fleet/qms-marwa/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2019,9788643,Panama,DNV,70,94.20 m | 94.2,"1,035 m2",1 X 300MT,150,1382,,22.2 m
QMS Nouf,qms-nouf,https://zmiglobal.com/fleet/qms-nouf/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2019,9787742,Panama,DNV-GL,73,103.78 m excluding spud cans | 106.7,"1,100 m2",1 X 100T,173,1760.9,,22.2 m
QMS Omar,qms-omar,https://zmiglobal.com/fleet/qms-omar/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2019,9787730,St. Vincent & the Grenadines,DNV-GL,73,103.78 m excluding spud cans | 106.7,"1,100 m2",1 X 100T,191,1728.9,,22.2 m
QMS Pearl,qms-pearl,https://zmiglobal.com/fleet/qms-pearl/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2016,9770218,St. Vincent & the Grenadines,ABS,60,90.00 m excluding spud cans | 91.6,"1,500 m2",1 X 190T,150,1663.6,,17.46 m
QMS Pride,qms-pride,https://zmiglobal.com/fleet/qms-pride/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2016,9770220,St. Vincent & the Grenadines,ABS,60,90.00 m excluding spud cans | 91.6,"1,500 m2",1 X 190T,150,1610.4,,17.46 m
QMS Sentinel,qms-sentinel,https://zmiglobal.com/fleet/qms-sentinel/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2017,9769958,Panama,ABS,80,107.00 m excluding spud cans | 110,"1,950 m2",2 X 300T,250,3757.1,,22.2 m
QMS Supporter,qms-supporter,https://zmiglobal.com/fleet/qms-supporter/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2016,9770206,St. Vincent & the Grenadines,ABS,60,90.00 m excluding spud cans | 91.6,"1,500 m2",1 X 190T,150,1669.18,,17.46 m
QMS Surprise II,qms-surprise-ii,https://zmiglobal.com/fleet/qms-surprise-ii/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,-,9814325,St. Vincent & the Grenadines,ABS,60,90.00 m excluding spud cans | 91.5,"1,500 m2",1 X 190T,342,1625.7,,22.2 m
QMS Surprise XI,qms-surprise-xi,https://zmiglobal.com/fleet/qms-surprise-xi/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2019,9726994,Panama,DNV,60,90.00 m | 91.5,"1,500 m2",1 X 200MT,300,N/A,,22.2 m
QMS Adventure,qms-adventure,https://zmiglobal.com/fleet/qms-adventure/,OSV (Offshore Support Vessel),OSV (Offshore Support Vessel),2012,9641209,St. Vincent and the Grenadines,ABS,,,350,25 t -9 m / 12 t-18 m,48,1339,-,
QMS Cardinal,qms-cardinal,https://zmiglobal.com/fleet/qms-cardinal/,AHTS (Anchor Handling Tug Supply),AHTS (Anchor Handling Tug Supply),2015,9690717,St. Vincent and the Grenadines,ABS,,,480,N/A,50,2495,81,
QMS Delta,qms-delta,https://zmiglobal.com/fleet/qms-delta/,AHTS (Anchor Handling Tug Supply),AHTS (Anchor Handling Tug Supply),2014,9698496,St. Vincent and the Grenadines,ABS,,,480,N/A,50,2580,85,
QMS Huracan,qms-huracan,https://zmiglobal.com/fleet/qms-huracan/,OSV (Offshore Support Vessel),OSV (Offshore Support Vessel),2015,9750115,St. Vincent and the Grenadines,ABS,,,500,51 MT Pedestal Crane- North Pacific,68,1570,-,
